case,b(n),depth,value_50digits
quad,3n²+n+1,10,1.1973739906883576024486032199372063297039447853836
quad,3n²+n+1,20,1.1973739906883576024486032199372063297042707032314
quad,3n²+n+1,40,1.1973739906883576024486032199372063297042707032314
quad,3n²+n+1,80,1.1973739906883576024486032199372063297042707032314
quad,3n²+n+1,160,1.1973739906883576024486032199372063297042707032314
quad,3n²+n+1,200,1.1973739906883576024486032199372063297042707032314
lin,3n+1,10,1.2414957195793031130199662850521431019913813667629
lin,3n+1,20,1.2414957195793031130199663763064503234808586712536
lin,3n+1,40,1.2414957195793031130199663763064503234808586712536
lin,3n+1,80,1.2414957195793031130199663763064503234808586712536
lin,3n+1,160,1.2414957195793031130199663763064503234808586712536
lin,3n+1,200,1.2414957195793031130199663763064503234808586712536
lemma1,k=1,—,0.59634736232319407434107849936927937607417786015255
lemma1,k=2,—,0.72265723377644516939432331535747987790918128309460
lemma1,k=3,—,0.78625122076595548856615581806729808672642060155735
