type,spec_id,spec_id_1,spec_id_2,constant,constants,relation,precision,status
gcf_vs_gcf,,GCF_C0C79573,GCF_791EFA6B,,,"[-4, 1, -4]",166,DEPENDENT
gcf_vs_gcf,,GCF_C0C79573,GCF_3A610A59,,,"[-3, 1, -3]",166,DEPENDENT
gcf_vs_gcf,,GCF_C0C79573,GCF_675469BE,,,"[4, 1, 4]",166,DEPENDENT
gcf_vs_gcf,,GCF_C0C79573,GCF_29566589,,,"[2, 1, 2]",166,DEPENDENT
gcf_vs_gcf,,GCF_791EFA6B,GCF_3A610A59,,,"[-2, 3, -2]",166,DEPENDENT
gcf_vs_gcf,,GCF_791EFA6B,GCF_D1B84976,,,"[2, -3, -2]",166,DEPENDENT
gcf_vs_gcf,,GCF_791EFA6B,GCF_7457E7FB,,,"[-5, 9, -4]",166,DEPENDENT
gcf_vs_gcf,,GCF_791EFA6B,GCF_71B32B4C,,,"[-2, -4, -1]",166,DEPENDENT
gcf_vs_gcf,,GCF_3A610A59,GCF_675469BE,,,"[-3, -2, 2]",166,DEPENDENT
gcf_vs_gcf,,GCF_3A610A59,GCF_D1B84976,,,"[-2, 3, -2]",166,DEPENDENT
gcf_vs_gcf,,GCF_3A610A59,GCF_71B32B4C,,,"[3, 4, -1]",166,DEPENDENT
gcf_vs_gcf,,GCF_3A610A59,GCF_29566589,,,"[1, 2, 2]",166,DEPENDENT
gcf_vs_gcf,,GCF_675469BE,GCF_D1B84976,,,"[-2, -3, -2]",166,DEPENDENT
gcf_vs_gcf,,GCF_675469BE,GCF_7457E7FB,,,"[5, 9, -4]",166,DEPENDENT
gcf_vs_gcf,,GCF_675469BE,GCF_71B32B4C,,,"[-2, 4, 1]",166,DEPENDENT
gcf_vs_gcf,,GCF_D1B84976,GCF_7457E7FB,,,"[4, -3, -4]",166,DEPENDENT
gcf_vs_gcf,,GCF_D1B84976,GCF_71B32B4C,,,"[3, 4, 3]",166,DEPENDENT
gcf_vs_gcf,,GCF_D1B84976,GCF_7EF62B26,,,"[-6, 7, -2]",166,DEPENDENT
gcf_vs_gcf,,GCF_D1B84976,GCF_660FD0AA,,,"[1, 3, -4]",166,DEPENDENT
gcf_vs_gcf,,GCF_D1B84976,GCF_C06E0325,,,"[9, -7, -4]",166,DEPENDENT
gcf_vs_gcf,,GCF_AE8D42B9,GCF_70F23F50,,,"[-31, -35, 81]",166,DEPENDENT
gcf_vs_gcf,,GCF_AC2938EC,GCF_7457E7FB,,,"[-26, 27, 8]",166,DEPENDENT
gcf_vs_gcf,,GCF_AC2938EC,GCF_7EF62B26,,,"[-13, 14, 10]",166,DEPENDENT
gcf_vs_gcf,,GCF_AC2938EC,GCF_70F23F50,,,"[78, 70, -31]",166,DEPENDENT
gcf_vs_gcf,,GCF_AC2938EC,GCF_C06E0325,,,"[13, -14, 6]",166,DEPENDENT
gcf_vs_gcf,,GCF_9312F0BA,GCF_71B32B4C,,,"[-2, 1, 5]",166,DEPENDENT
gcf_vs_gcf,,GCF_7457E7FB,GCF_71B32B4C,,,"[-9, -8, 10]",166,DEPENDENT
gcf_vs_gcf,,GCF_7457E7FB,GCF_7EF62B26,,,"[9, -7, -14]",166,DEPENDENT
gcf_vs_gcf,,GCF_7457E7FB,GCF_70F23F50,,,"[72, 70, 37]",166,DEPENDENT
gcf_vs_gcf,,GCF_7457E7FB,GCF_660FD0AA,,,"[1, 4, -4]",166,DEPENDENT
gcf_vs_gcf,,GCF_7457E7FB,GCF_C06E0325,,,"[9, -7, -6]",166,DEPENDENT
gcf_vs_gcf,,GCF_71B32B4C,GCF_7EF62B26,,,"[-8, -7, -4]",166,DEPENDENT
gcf_vs_gcf,,GCF_71B32B4C,GCF_C06E0325,,,"[-8, -7, 4]",166,DEPENDENT
gcf_vs_gcf,,GCF_7EF62B26,GCF_70F23F50,,,"[16, 10, -13]",166,DEPENDENT
gcf_vs_gcf,,GCF_7EF62B26,GCF_C06E0325,,,"[3, -2, -2]",166,DEPENDENT
gcf_vs_gcf,,GCF_70F23F50,GCF_C06E0325,,,"[10, 13, -15]",166,DEPENDENT
