rank,hyp_id,sig,gap_pct,gates,status,birth_mode,family,family_size,breakthroughs,blocked_by,k_values,formula,description
1,E-075920-439,99.0,0.0,6/6,champion,teleport,teleport_conductor,1,1,,"[9, 10, 11, 12, …]",A₁⁽ᵏ⁾ = -(k·c_k)/48 − (k+1)(k+3)/(8·c_k)  [Lemma K at conductor N=12],conductor teleport from F-337226-907: N→12
2,E-122835-208,99.0,0.0,6/6,champion,teleport,teleport_beta,1,1,,"[5, 6, 7, 8, …]","A₁⁽ᵏ⁾ = -1/48·(k·c_k) + β_k/c_k  [β pattern 3, β(5)=-4.3750]","β-explore teleport from F-340501-830, pattern 3"
3,E-210054-407,99.0,0.0,6/6,champion,teleport,teleport_conductor,1,1,,"[5, 6, 7, 8, …]",A₁⁽ᵏ⁾ = -(k·c_k)/48 − (k+1)(k+3)/(8·c_k)  [Lemma K at conductor N=60],conductor teleport from F-351870-169: N→60
4,E-437145-930,99.0,0.0,6/6,champion,teleport,teleport_beta,1,1,,"[5, 6, 7, 8, …]","A₁⁽ᵏ⁾ = -1/48·(k·c_k) + β_k/c_k  [β pattern 1, β(5)=-5.2500]","β-explore teleport from X-341634-197, pattern 1"
5,X-344728-476,99.0,0.0,6/6,champion,cross_seed,borel_bridge,1,1,,"[21, 22, 23]",A₁⁽ᵏ⁾ = -1/48·(k·c_k) − (k+1)(k+3)/(8·c_k) + Ω_bridge/c_k²  [cross-track: Laplace transcendence bridge; vquad×borel],Cross-track seed from VQuadTranscendenceAgent + BOREL-L1
6,C_P14_04,99.0,3.0,6/6,champion,seed,seed,1,0,,"[9, 10, 11, 12, …]",A₁⁽²⁴⁾ = -(24·c₂₄)/48 − 25·27/(8·c₂₄)  [k=24 boss],"G-01 law k=9,10,11,12; k=24 boss-level stress test."
7,E-374178-108,99.0,3.0,6/6,champion,teleport,teleport_conductor,1,1,,"[5, 6, 7, 8, …]",A₁⁽ᵏ⁾ = -(k·c_k)/48 − (k+1)(k+3)/(8·c_k)  [Lemma K at conductor N=1],conductor teleport from F-336501-892: N→1
8,C-328173-705,99.0,4.0,6/6,champion,cascade,cascade,1,1,,"[9, 10, 11, 12]",A₁⁽ᵏ⁾ = -(k·c_k)/48 − (k+1)(k+3)/(8·c_k)  [k≥5],"Extend G-01 derivation package — full symbolic proof Lemm to k=[9, 10, 11, 12]"
9,E-378357-607,99.0,4.0,6/6,champion,teleport,teleport_kjump,1,1,,"[25, 26, 27, 28]","A₁⁽ᵏ⁾ = -(k·c_k)/48 − (k+1)(k+3)/(8·c_k)  [teleport k=[25, 26, 27, 28]]","k-jump teleport from F-337226-249 → k=[25, 26, 27, 28]"
10,E-943706-650,99.0,4.0,6/6,champion,teleport,teleport_kjump,1,1,,"[9, 10, 11, 12]","A₁⁽ᵏ⁾ = -(k·c_k)/48 − (k+1)(k+3)/(8·c_k)  [teleport k=[9, 10, 11, 12]]","k-jump teleport from E-494847-397 → k=[9, 10, 11, 12]"
